date,title,content,event_type,Sentiment,symbol,Sector,Impact_Level,computed_sentiment,summary,prompt_chain_summary,route
2025-05-21,Nikkei 225 index benefits from a weaker yen,Nikkei 225 index benefits from a weaker yen,Commodity Price Shock,,Goldman Sachs,Technology,High,0.0,Nikkei 225 index benefits from a weaker yen,"Headline: Nikkei 225 index benefits from a weaker yen | Key points: nikkei, index, benefits, from, weaker | Sentiment: neutral",General
2025-05-18,Government subsidy program gives a lift to the agriculture sector,Government subsidy program gives a lift to the agriculture sector,Central Bank Meeting,,ExxonMobil,Retail,Low,0.0,Government subsidy program gives a lift to the agriculture sector,"Headline: Government subsidy program gives a lift to the agriculture sector | Key points: government, subsidy, program, gives, lift | Sentiment: neutral",General
2025-06-25,New housing data release shows a slowdown in market activity,New housing data release shows a slowdown in market activity,Consumer Confidence Report,Neutral,Boeing,Retail,Medium,0.13636363636363635,New housing data release shows a slowdown in market activity,"Headline: New housing data release shows a slowdown in market activity | Key points: housing, data, release, shows, slowdown | Sentiment: positive",General
2025-07-21,Massive stock buyback program announced by a consumer goods company,Massive stock buyback program announced by a consumer goods company,Commodity Price Shock,Positive,Samsung Electronics,Consumer Goods,Low,0.0,Massive stock buyback program announced by a consumer goods company,"Headline: Massive stock buyback program announced by a consumer goods company | Key points: massive, stock, buyback, program, announced | Sentiment: neutral",General
2025-07-23,Government spending bill is expected to stimulate the economy,Government spending bill is expected to stimulate the economy,Inflation Data Release,Negative,JP Morgan Chase,Consumer Goods,Low,-0.1,Government spending bill is expected to stimulate the economy,"Headline: Government spending bill is expected to stimulate the economy | Key points: government, spending, bill, expected, stimulate | Sentiment: negative",General
2025-03-18,Central bank maintains status quo on interest rates,Central bank maintains status quo on interest rates,Unemployment Rate Announcement,Negative,ExxonMobil,Transportation,Low,0.0,Central bank maintains status quo on interest rates,"Headline: Central bank maintains status quo on interest rates | Key points: central, bank, maintains, status, interest | Sentiment: neutral",Macro
2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Tech Giant's New Product Launch Sparks Sector-Wide Gains,IPO Launch,Neutral,JP Morgan Chase,Telecommunications,Medium,0.06818181818181818,Tech Giant's New Product Launch Sparks Sector-Wide Gains,"Headline: Tech Giant's New Product Launch Sparks Sector-Wide Gains | Key points: tech, giant, product, launch, sparks | Sentiment: positive",Innovation
2025-04-05,A massive data breach sends a tech company's stock tumbling,A massive data breach sends a tech company's stock tumbling,Geopolitical Event,Positive,JP Morgan Chase,Retail,Low,0.0,A massive data breach sends a tech company's stock tumbling,"Headline: A massive data breach sends a tech company's stock tumbling | Key points: massive, data, breach, sends, tech | Sentiment: neutral",Innovation
2025-04-08,nan,nan,Trade Tariffs Announcement,Positive,JP Morgan Chase,Automotive,Low,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-06-18,Market sentiment turns positive on vaccine trial results,Market sentiment turns positive on vaccine trial results,Trade Tariffs Announcement,Negative,JP Morgan Chase,Energy,Low,0.22727272727272727,Market sentiment turns positive on vaccine trial results,"Headline: Market sentiment turns positive on vaccine trial results | Key points: market, sentiment, turns, positive, vaccine | Sentiment: positive",General
2025-07-17,"Global trade talks collapse, causing market turmoil","Global trade talks collapse, causing market turmoil",Consumer Confidence Report,Positive,Tesla,Transportation,Medium,0.0,"Global trade talks collapse, causing market turmoil","Headline: Global trade talks collapse, causing market turmoil | Key points: global, trade, talks, collapse, causing | Sentiment: neutral",General
2025-05-28,Aerospace and Defense sector sees rally amid geopolitical tensions,Aerospace and Defense sector sees rally amid geopolitical tensions,Commodity Price Shock,,Tesla,Pharmaceuticals,Medium,0.0,Aerospace and Defense sector sees rally amid geopolitical tensions,"Headline: Aerospace and Defense sector sees rally amid geopolitical tensions | Key points: aerospace, defense, sector, sees, rally | Sentiment: neutral",General
2025-04-28,Supply chain issues impact manufacturing sector earnings,Supply chain issues impact manufacturing sector earnings,Government Policy Announcement,Neutral,ExxonMobil,Healthcare,High,0.0,Supply chain issues impact manufacturing sector earnings,"Headline: Supply chain issues impact manufacturing sector earnings | Key points: supply, chain, issues, impact, manufacturing | Sentiment: neutral",Earnings
2025-02-28,nan,nan,Unemployment Rate Announcement,Negative,Boeing,Aerospace & Defense,Low,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-06-30,Market braces for a major policy announcement from the EU,Market braces for a major policy announcement from the EU,Bond Market Fluctuation,Positive,Tata Motors,Finance,Medium,0.0625,Market braces for a major policy announcement from the EU,"Headline: Market braces for a major policy announcement from the EU | Key points: market, braces, major, policy, announcement | Sentiment: positive",General
2025-05-26,New IPO for a popular software firm is oversubscribed,New IPO for a popular software firm is oversubscribed,Regulatory Changes,Negative,Apple Inc.,Industrials,Medium,0.1787878787878788,New IPO for a popular software firm is oversubscribed,"Headline: New IPO for a popular software firm is oversubscribed | Key points: popular, software, firm, oversubscribed | Sentiment: positive",General
2025-06-02,Market sentiment turns positive on vaccine trial results,Market sentiment turns positive on vaccine trial results,Market Rally,Negative,Boeing,Real Estate,Low,0.22727272727272727,Market sentiment turns positive on vaccine trial results,"Headline: Market sentiment turns positive on vaccine trial results | Key points: market, sentiment, turns, positive, vaccine | Sentiment: positive",General
2025-04-02,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Inflation Data Release,Positive,Samsung Electronics,Aerospace & Defense,High,-0.04583333333333334,Major technology firm acquires a smaller rival in a multi-billion dollar deal,"Headline: Major technology firm acquires a smaller rival in a multi-billion dollar deal | Key points: major, technology, firm, acquires, smaller | Sentiment: negative",Innovation
2025-07-18,Manufacturing PMI data signals economic expansion,Manufacturing PMI data signals economic expansion,Inflation Data Release,,Microsoft,Retail,Low,0.2,Manufacturing PMI data signals economic expansion,"Headline: Manufacturing PMI data signals economic expansion | Key points: manufacturing, data, signals, economic, expansion | Sentiment: positive",General
2025-07-22,Financial services stocks rally on strong profit margins,Financial services stocks rally on strong profit margins,Trade Tariffs Announcement,Positive,JP Morgan Chase,Finance,Medium,0.21666666666666667,Financial services stocks rally on strong profit margins,"Headline: Financial services stocks rally on strong profit margins | Key points: financial, services, stocks, rally, strong | Sentiment: positive",Earnings
2025-05-21,nan,nan,Commodity Price Shock,Negative,Samsung Electronics,Industrials,Medium,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-08-03,Mining company stock surges on commodity price boom,Mining company stock surges on commodity price boom,Commodity Price Shock,Negative,Boeing,Agriculture,Medium,0.0,Mining company stock surges on commodity price boom,"Headline: Mining company stock surges on commodity price boom | Key points: mining, company, stock, surges, commodity | Sentiment: neutral",General
2025-05-23,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Regulatory Changes,Neutral,Microsoft,Real Estate,Low,0.06818181818181818,Tech Giant's New Product Launch Sparks Sector-Wide Gains,"Headline: Tech Giant's New Product Launch Sparks Sector-Wide Gains | Key points: tech, giant, product, launch, sparks | Sentiment: positive",Innovation
2025-03-12,Financial sector bracing for new capital requirements,Financial sector bracing for new capital requirements,Economic Data Release,Positive,Apple Inc.,Utilities,High,0.06818181818181818,Financial sector bracing for new capital requirements,"Headline: Financial sector bracing for new capital requirements | Key points: financial, sector, bracing, capital, requirements | Sentiment: positive",General
